Selected Features,Score
ENSG00000091704.9,10.562552648765323
ENSG00000101251.11,15.100854535290459
ENSG00000145103.12,16.57801698121411
ENSG00000163530.4,9.847112952450301
ENSG00000174502.18,9.7174696504068
ENSG00000184344.3,9.746677710206763
ENSG00000196862.9,9.85653020622872
ENSG00000197273.3,9.697596107304891
ENSG00000197587.10,13.985476692144895
ENSG00000205927.4,11.010694418536826
ENSG00000207380.1,15.32193057739186
ENSG00000213069.3,14.175933498551592
ENSG00000221440.1,16.01107294871296
ENSG00000221669.1,10.30193711589084
ENSG00000222788.1,13.465679814458996
ENSG00000224007.1,12.114104987830778
ENSG00000226695.1,16.541661190948766
ENSG00000226990.1,10.919859428512444
ENSG00000228162.1,11.460988319663487
ENSG00000230355.1,13.467402691646084
ENSG00000231971.5,9.823449910122868
ENSG00000232041.1,10.189535520200577
ENSG00000232164.1,10.921367405891978
ENSG00000232458.1,10.176613652173145
ENSG00000233839.1,10.451443744937407
ENSG00000237888.1,11.750071757398185
ENSG00000239958.3,10.017477661502117
ENSG00000242849.2,10.626041543256365
ENSG00000249057.1,15.28436115173676
ENSG00000250332.1,13.450197650889585
ENSG00000251365.1,11.786027206011239
ENSG00000252962.1,16.09866206684123
ENSG00000253087.1,11.74972791448517
ENSG00000253220.1,10.919979271692773
ENSG00000253855.1,10.920082766543178
ENSG00000254760.1,13.242071944585765
ENSG00000254792.1,10.136603158576301
ENSG00000255608.1,10.347757889839372
ENSG00000258994.1,9.637981422449316
ENSG00000259153.1,10.142545428747278
ENSG00000260955.2,13.27365827219506
ENSG00000262974.1,12.981674628574142
ENSG00000264859.5,11.751615922059754
ENSG00000267341.1,12.005917356101703
ENSG00000269729.1,10.296735429592669
ENSG00000271969.1,10.122704709918239
ENSG00000274647.1,10.919321221810783
ENSG00000276878.1,11.749969511261632
ENSG00000280280.1,13.061286658390433
ENSG00000280414.1,9.637981422449311
