Selected Features,Score
ENSG00000118298.10,29.82699626734616
ENSG00000163833.7,26.78807992190341
ENSG00000183166.10,26.481680982537867
ENSG00000189190.9,28.306410211930224
ENSG00000201998.1,29.29212344861885
ENSG00000206669.1,23.3799512377901
ENSG00000214019.2,35.1306887981172
ENSG00000215182.8,25.068495711346586
ENSG00000216195.3,44.394114396810586
ENSG00000222248.1,28.762212387498977
ENSG00000223795.2,25.97870485626413
ENSG00000224276.1,26.588897923459086
ENSG00000224638.1,24.401503439631238
ENSG00000230201.5,28.507887139403728
ENSG00000230881.1,30.069199368709906
ENSG00000234758.1,29.07622804067438
ENSG00000235197.1,28.042475170375898
ENSG00000238180.1,30.276939929140518
ENSG00000240184.6,24.026316584282668
ENSG00000240950.1,25.534398155509702
ENSG00000252408.1,33.45970936988719
ENSG00000255663.1,24.22544986865818
ENSG00000257613.1,24.846095871688952
ENSG00000258806.2,30.452223655228025
ENSG00000259026.1,23.551006448550822
ENSG00000264236.1,25.302377440068707
ENSG00000266109.1,23.83225804543352
ENSG00000274300.1,26.05877183849403
ENSG00000275901.1,27.77172745687015
ENSG00000278487.1,32.505332906962835
