Selected Features,Score
ENSG00000079215.13,47.12089709708848
ENSG00000081041.8,54.684861708962714
ENSG00000140519.12,68.28080728005357
ENSG00000162433.14,49.10694848068069
ENSG00000164920.9,47.014685332200635
ENSG00000179292.4,49.36978556103422
ENSG00000203266.2,67.51589390783816
ENSG00000204683.10,55.21020344946748
ENSG00000205622.9,75.23068576528549
ENSG00000207124.1,48.45394676158511
ENSG00000214305.4,57.766671135445456
ENSG00000214407.3,51.288937664723576
ENSG00000222076.1,67.5320695520046
ENSG00000224077.1,48.08911887130575
ENSG00000230298.1,69.32691447269573
ENSG00000231808.2,49.68744675678835
ENSG00000232265.7,53.205546042234516
ENSG00000234883.5,47.735397807541204
ENSG00000236709.1,56.666219009472
ENSG00000245248.7,50.201569356803176
ENSG00000248771.5,48.3203239235758
ENSG00000259912.1,46.76334081731762
ENSG00000260823.1,53.63791513539278
ENSG00000269667.1,51.595087434573855
ENSG00000272273.1,50.76342564765575
ENSG00000273167.1,57.885718020456004
ENSG00000275693.1,56.763563932198345
ENSG00000277895.1,61.714208635020796
ENSG00000278546.1,54.68129311907224
ENSG00000279714.1,46.87701139151511
